Site,Organization,State,City,Latitude,Longitude
Riverside Women's Clinic,My Future Approved,IL,Ottawa,41.346664,-88.840761
White Oak Women's Clinic,My Future Approved,IL,Rock Falls,41.767186,-89.688929
Life Choices Center,NY,Binghamton,42.0976669,-75.9232063
Women’s Care Center Fort Pierce,FL,Fort Pierce,27.443172,-80.3326193
Women’s Care Center Auburn,IN,Auburn,41.3670462,-85.0696396
Women’s Care Center Bloomington,IN,Bloomington,39.1625111,-86.5346358
Women’s Care Center Elkhart,IN,Elkhart,41.6821258,-85.9739721
Women’s Care Center Lake Avenue,IN,Fort Wayne,41.0896306,-85.1009093
Women’s Care Center Coliseum Blvd,IN,Fort Wayne,41.1174417,-85.1552095
Women’s Care Center Jefferson Blvd,IN,Fort Wayne,41.0678635,-85.1996304
Women’s Care Center Hammond,IN,Hammond,41.5876856,-87.4805743
Women’s Care Center Indianapolis,IN,Indianapolis,39.9108558,-86.241759
Women’s Care Center LaPorte,IN,LaPorte,41.610658,-86.717808
Women’s Care Center Merrillville,IN,Merrillville,41.4635307,-87.3364736
Women’s Care Center Michigan City,IN,Michigan City,41.7133691,-86.90292
Women’s Care Center Mishawaka,IN,Mishawaka,41.660703,-86.1886045
Women’s Care Center Plymouth,IN,Plymouth,41.3416447,-86.3090852
Women’s Care Center Notre Dame Ave,IN,South Bend,41.6794422,-86.2379849
Women’s Care Center Lincoln Way West,IN,South Bend,41.6926361,-86.2995377
Women’s Care Center La Grange,IL,La Grange,41.8193436,-87.8730032
Women’s Care Center Peoria,IL,Peoria,40.719067,-89.5942248
Women’s Care Center Richmond,KY,Richmond,37.7611514,-84.3079843
Women’s Care Center Baltimore,MD,Baltimore,39.3655044,-76.5178531
Women’s Care Center Niles,MI,Niles,41.8297988,-86.2516171
Women’s Care Center Anoka,MN,Anoka,45.1972587,-93.3833043
Women’s Care Center Duluth,MN,Duluth,46.7888337,-92.0981203
Women’s Care Center Lincoln,NE,Lincoln,40.7560495,-96.6532469
Women’s Care Center Bismarck,ND,Bismarck,46.8112775,-100.7864905
Women’s Care Center Devils Lake,ND,Devils Lake,48.1115657,-98.8599997
Women’s Care Center Fargo,ND,Fargo,46.8781285,-96.7978085
Women’s Care Center Broad Street,OH,Columbus,39.9647557,-82.9756411
Women’s Care Center Main Street,OH,Columbus,39.9562586,-82.9106047
Women’s Care Center York,PA,York,39.9548652,-76.7500004
Women’s Care Center Madison,WI,Madison,43.1229137,-89.3235905
Women’s Care Center Farwell Ave,WI,Milwaukee,43.048908,-87.896293
Women’s Care Center Historic Mitchell,WI,Milwaukee,43.0124305,-87.9196689
